key,type,project,time
HADOOP-3027,description,Hadoop,8
HADOOP-2323,comments,Hadoop,14
HADOOP-2972,description,Hadoop,5
HADOOP-1098,description,Hadoop,59
HADOOP-10823,description,Hadoop,755
HADOOP-1407,description,Hadoop,0
HADOOP-3590,description,Hadoop,2
HADOOP-9125,description,Hadoop,107
HADOOP-4351,comments,Hadoop,7
HADOOP-799,description,Hadoop,66
HADOOP-5002,description,Hadoop,11
HADOOP-15206,comments,Hadoop,15
HADOOP-1714,description,Hadoop,0
HADOOP-8962,comments,Hadoop,0
HADOOP-1186,description,Hadoop,0
HADOOP-9364,comments,Hadoop,2
HADOOP-8963,comments,Hadoop,30
HADOOP-13890,comments,Hadoop,3
HADOOP-1200,comments,Hadoop,34
HADOOP-1739,comments,Hadoop,9
HADOOP-3883,comments,Hadoop,99
HADOOP-1152,comments,Hadoop,29
HADOOP-2768,comments,Hadoop,2
HADOOP-4595,comments,Hadoop,5
HADOOP-1955,description,Hadoop,7
HADOOP-1099,description,Hadoop,4
HADOOP-3118,comments,Hadoop,5
HADOOP-1220,description,Hadoop,545
HADOOP-794,description,Hadoop,6
HADOOP-5234,comments,Hadoop,12
HADOOP-1513,description,Hadoop,11
HADOOP-12603,comments,Hadoop,48
HADOOP-6782,description,Hadoop,6
HADOOP-14743,comments,Hadoop,2
HADOOP-1179,comments,Hadoop,6
HADOOP-2755,comments,Hadoop,1
HADOOP-1712,description,Hadoop,1
HADOOP-7629,description,Hadoop,4
HADOOP-10468,description,Hadoop,98
HADOOP-2256,description,Hadoop,7
HADOOP-9894,comments,Hadoop,7
HADOOP-156,comments,Hadoop,1000
HADOOP-4526,comments,Hadoop,1
HADOOP-12588,comments,Hadoop,240
HADOOP-4967,comments,Hadoop,19
HADOOP-951,description,Hadoop,651
HADOOP-1159,description,Hadoop,9
HADOOP-5233,description,Hadoop,8
HADOOP-906,description,Hadoop,6
HADOOP-12418,comments,Hadoop,34
HADOOP-1175,comments,Hadoop,5
HADOOP-750,description,Hadoop,3
HADOOP-2974,comments,Hadoop,5
HADOOP-10937,description,Hadoop,0
HADOOP-984,description,Hadoop,0
HADOOP-3108,description,Hadoop,1
HADOOP-1973,comments,Hadoop,15
HADOOP-751,description,Hadoop,56
HADOOP-12622,description,Hadoop,84
HADOOP-13988,comments,Hadoop,13
HADOOP-3831,description,Hadoop,49
HADOOP-546,description,Hadoop,83
HADOOP-507,description,Hadoop,1
HADOOP-3827,comments,Hadoop,0
HADOOP-1093,comments,Hadoop,34
HADOOP-1640,description,Hadoop,4
HADOOP-2538,description,Hadoop,10
HADOOP-15850,comments,Hadoop,6
HADOOP-12317,comments,Hadoop,8
HADOOP-12602,description,Hadoop,15
HADOOP-12655,description,Hadoop,20
HADOOP-1512,description,Hadoop,1
HADOOP-11693,description,Hadoop,5
HADOOP-1182,comments,Hadoop,19
HADOOP-4695,comments,Hadoop,109
HADOOP-3107,description,Hadoop,0
HADOOP-924,description,Hadoop,47
HADOOP-973,description,Hadoop,11
HADOOP-8589,comments,Hadoop,119
HADOOP-11754,description,Hadoop,4
HADOOP-5285,comments,Hadoop,3
HADOOP-12590,comments,Hadoop,46
HADOOP-549,description,Hadoop,134
HADOOP-1012,comments,Hadoop,9
HADOOP-949,comments,Hadoop,0
HADOOP-4744,comments,Hadoop,91
HADOOP-3760,comments,Hadoop,0
HADOOP-2976,description,Hadoop,9
HADOOP-3633,comments,Hadoop,12
HADOOP-705,description,Hadoop,4
HADOOP-990,description,Hadoop,13
HADOOP-3561,comments,Hadoop,3
HADOOP-3865,comments,Hadoop,1
HADOOP-12573,comments,Hadoop,53
HADOOP-3035,description,Hadoop,65
HADOOP-1233,description,Hadoop,148
HADOOP-3576,description,Hadoop,2
HADOOP-3130,comments,Hadoop,18
HADOOP-4163,description,Hadoop,25
HADOOP-1930,description,Hadoop,5
HADOOP-11260,comments,Hadoop,2
HADOOP-529,description,Hadoop,0
HADOOP-745,comments,Hadoop,41
HADOOP-1475,description,Hadoop,12
HADOOP-2691,comments,Hadoop,1
HADOOP-3604,description,Hadoop,12
HADOOP-1510,description,Hadoop,0
HADOOP-10406,comments,Hadoop,627
HADOOP-6386,comments,Hadoop,79
HADOOP-1013,comments,Hadoop,15
