key,resolution_time
30663,87
40805,10
41952,134
42574,57
43891,48
44155,680
45184,80
53012,23
58524,642
59895,17
59909,16
60015,106
64222,1475
73507,2899
76055,162
76101,461
77163,8
77799,1
82062,3
82755,158
83626,91
91417,174
93310,213
98901,293
99136,84
102746,7
103051,138
106130,11
109173,13
111738,1
112615,12
112736,44
112830,21
113073,1
113447,20
115252,12
115607,12
118715,6
119453,33
120356,60
121312,192
121711,27
122370,49
125027,1
125809,1
125810,1
128618,1
129298,31
131505,14
133117,51
133532,202
134471,38
135780,25
137235,15
140695,57
141730,135
145391,807
145689,50
145693,910
145963,95
148190,237
148727,1
148906,119
148908,90
150271,43
150671,12
151978,636
152366,64
152589,7
152873,4
152982,3
154552,2
155972,3
156904,22
156962,1
158573,7
159268,620
159854,27
160496,13
163005,729
168982,536
176546,462
193065,172
194314,584
203384,130
205949,104
206911,124
211146,267
222437,1
224962,1
226201,61
228980,1
229910,1
235505,6
249216,64
250632,1
256514,20
265072,1
265418,1
265693,31
296501,1
318878,966
336774,1
336880,1
357013,1
368046,570
387568,2
413378,2
415957,1
430684,14
431976,69
432178,8
432714,64
433351,665
433744,1
435446,2
443355,33
443477,43
445968,2
449401,1
449739,2
461323,261
467415,1
470658,200
478003,58
482990,1
486612,22
487694,1
487927,1
488216,15
489596,1
493554,1
500035,88
500796,65
518698,97
520597,53
525293,25
526381,1
526382,1
526734,1
