key,resolution_time
39479,16
43033,6
58520,643
102210,84
110465,353
113531,19
115235,8
117882,10
119543,1
122580,159
122742,47
123612,5
128237,5
129163,14
136665,4
148285,954
149293,784
153572,781
155148,5
155763,12
156058,39
158205,11
162135,772
167197,465
197719,322
237447,1
251940,1
280676,1
298388,34
327141,362
377096,845
404345,1325
408721,35
431541,6
440983,5
444398,1
473555,11
475152,16
484941,8
485055,5
485448,1
485583,30
490315,6
502119,45
525972,10
