key,resolution_time
18500,2744
61185,1987
73151,1246
76854,1644
82302,1280
89044,1385
98062,2506
100715,895
101241,1266
102326,1335
109137,955
109440,841
110836,832
113870,1274
116123,780
119123,760
125219,1266
125221,848
133072,419
135025,496
136018,631
138541,1202
147831,1728
149816,645
154292,1188
154593,532
155015,1338
158331,1285
162420,1251
163707,434
168069,490
168247,114
170213,201
171601,355
171767,381
172721,2104
172793,332
174281,669
175134,956
175437,2
177420,331
179213,181
179451,875
180954,483
181210,1589
181515,316
181628,268
188795,966
189472,820
190711,1040
190720,337
191365,239
194694,28
195281,224
195729,1014
197984,64
200727,97
201572,167
201580,2643
201681,8
201956,67
201980,6
201994,32
201998,439
202462,82
204614,1
205198,338
205833,118
205888,34
208107,90
208712,95
209046,705
209138,604
209347,507
209432,52
209872,487
210529,862
210539,61
211127,52
211698,35
211754,64
211811,30
212626,66
212745,1
212758,26
213255,22
213268,78
213269,15
213457,16
213565,1
213750,13
214148,1
214156,1
214246,43
214457,1
214511,2
214518,2
214542,24
214837,1
214843,9
214968,6
215314,560
215523,1
215579,89
215743,557
215760,3
215845,23
216019,2
216040,8
216132,1
216240,1
216303,35
216341,1
216360,18
216504,1
216637,11
216657,4
216703,1
216785,1
216840,6
216914,1
216937,1
217007,264
217022,22
217101,1
217167,4
217201,1
217276,1
217277,1
217304,12
217332,4
217333,10
217618,1
217752,188
217772,1
217941,12
217983,1
218015,6
218210,4
218223,1
218293,4
218294,4
218393,1
218618,1
218648,62
219331,1
219401,1
219577,1
219770,1
219852,3
219981,1
220069,1
220087,1
220110,316
220178,1
220179,50
220235,1
220425,1
220490,1
220575,1
220634,1
221019,24
221125,1
221655,403
222793,131
222857,75
222945,203
223358,1
223433,2
223587,1
223681,10
223727,23
224125,4
224409,31
224582,129
224613,270
224646,142
224892,5
224936,28
225107,1
225148,5
225192,1
225644,38
226026,20
226037,6
226049,118
226238,5
226334,2
226349,49
226590,18
226640,4
226788,1
226800,1
226919,1
227008,1
227035,1
227105,2
227140,111
227218,1
227280,21
227346,3
227689,6
227774,240
227932,1
227949,93
227963,1
228025,1
228044,6
228355,651
228454,5
228583,1
228765,1
228840,1
229024,2
229070,191
229441,1
229453,6
229584,1
229624,6
230248,1
230249,4
230258,367
230417,1
230447,1
230479,7
232041,1
232184,1
232304,82
232463,4
232505,248
232706,1
232771,168
233501,1
233562,232
233682,62
